WellID,BVHH_imputed,FormationAlias,LateralLength,LeftNeighbourType,RightNeighbourType,CodGOR_imputed,is_zero_proppant,NormalizedOilEUR,NormalizedGasEUR,FluidPerFoot_imputed,ProppantPerFoot_imputed,NioGOR_imputed,TVD_missing_noneighbour,NioGOR_missing_noneighbour,RightDistance_filled,LeftDistance_filled,TVD_imputed,TotalSpacing,BVHH_x_NIOBRARA,BVHH_bin,Proppant_x_BVHH,Proppant_sq_x_BVHH,HighBVHH_Codell_x_Proppant,HighBVHH_Niobrara_x_Proppant,Proppant_level,Fluid_level,Proppant_x_Fluid,HighProppant_HighFluid,NioGOR_bin,BVHH_imputed_sq
500109976,1.242126804,NIOBRARA,5710.0,Codeveloped,Parent,1385.325607,0,33.33204904,95.61120841,1539.516988,1357.267951,2392.031788,0,0,2095.0,285.0,7583.0,2380.0,1.242126804,High,1685.8989021472587,2288216.5485105594,0.0,1357.267951,High,High,2089537.0678324518,1,Low,1.5428789972152543
500109977,1.201437113,NIOBRARA,5882.0,Codeveloped,Codeveloped,1391.886685,0,32.09095546,110.5601836,1496.683781,1360.081605,1930.246804,0,0,603.0,293.0,7593.0,896.0,1.201437113,Medium,1634.0525169556063,2222444.7699152706,0.0,0.0,High,High,2035612.0790399485,1,Low,1.4434511364937745
500109978,1.183790816,NIOBRARA,4458.0,NoNeighbour,Codeveloped,1652.383807,0,33.50650516,91.65589951,1666.650067,1053.387169,1652.324768,0,0,261.0,-1.0,7415.0,260.0,1.183790816,Medium,1246.99005635444,1313563.3252343542,0.0,0.0,High,High,1755627.7957907906,1,Low,1.4013606960459457
500109979,1.210568394,CODELL,5781.0,Codeveloped,Codeveloped,1385.945514,0,31.87009168,113.3374849,1552.539699,1383.843626,2063.795121,0,0,853.0,883.0,7827.0,1736.0,0.0,Medium,1675.2373558739569,2318266.536963269,1383.843626,0.0,High,High,2148472.1665731086,1,Low,1.4654758365517393
500109980,1.188305155,NIOBRARA,5778.0,Codeveloped,Codeveloped,1401.729284,0,42.04620976,101.7990654,1541.133956,1384.562132,1819.072065,0,0,293.0,1625.0,7686.0,1918.0,1.188305155,Medium,1645.2823188733903,2277995.595161245,0.0,0.0,High,High,2133795.715816954,1,Low,1.4120691413995738
500109981,0.953375,CODELL,5818.0,Codeveloped,Parent,1390.125336,0,33.16122379,113.6418013,1527.513579,1375.04297,2580.354097,0,0,2076.0,853.0,7830.0,2929.0,0.0,Medium,1310.9315915237498,1802587.269075644,0.0,0.0,High,High,2100396.8083834895,1,Low,0.9089238906249999
500109984,1.549308163,NIOBRARA,9595.0,Parent,Codeveloped,2661.657316,0,21.40510683,108.0623241,1011.348619,990.9327775,2898.113573,0,0,280.0,3770.0,7807.0,4050.0,1.549308163,High,1535.2602411650128,1521339.694962966,0.0,990.9327775,Medium,Medium,1002178.4960464593,0,Medium,2.400355783938435
500109987,1.562525,NIOBRARA,9584.0,Codeveloped,Codeveloped,2605.895439,0,16.34411519,114.042884,1018.307179,983.096828,2848.305116,0,0,396.0,280.0,7886.0,676.0,1.562525,High,1536.1133711706998,1510148.1826463018,0.0,983.096828,Medium,Medium,1001094.5576045281,0,Medium,2.441484375625
500109993,0.925579688,CODELL,9660.0,Parent,Codeveloped,2448.819352,0,17.19358178,107.6799172,770.1521739,962.3188406,2676.213397,0,0,650.0,4565.0,8031.0,5215.0,0.0,Medium,890.7027722390698,857140.0591003075,0.0,0.0,Medium,Medium,741131.9470730176,0,Medium,0.8566977588381773
500109994,1.564086598,NIOBRARA,9692.0,Parent,Codeveloped,2453.051573,0,8.962752786,29.37412299,1041.519397,942.4267437,2667.713133,0,0,360.0,4756.0,7785.0,5116.0,1.564086598,High,1474.0370394179508,1389171.927151848,0.0,942.4267437,Medium,Medium,981555.7338150976,0,Medium,2.4463668860432137
500109995,0.911843077,CODELL,9658.0,Parent,NoNeighbour,2388.246581,0,24.38651895,146.4438807,718.0008283,954.4419134,2539.608482,0,0,-1.0,544.0,8032.0,543.0,0.0,Medium,870.3012511324235,830651.9913652443,0.0,0.0,Medium,Low,685290.0843854368,0,Low,0.831457797072828
500109996,0.925844615,CODELL,9681.0,Codeveloped,NoNeighbour,2410.38891,0,23.13149468,164.8939159,749.9696312,998.8637537,2603.91312,0,0,-1.0,650.0,8032.0,649.0,0.0,Medium,924.7926274818313,923741.8352805878,0.0,0.0,Medium,Low,749117.4809814366,0,Medium,0.8571882511244983
500109997,1.562512755,NIOBRARA,9604.0,Codeveloped,Parent,2477.326184,0,14.44137859,117.3583923,994.7886297,983.1320283,2715.58191,0,0,427.0,270.0,7874.0,697.0,1.562512755,High,1536.156334067771,1510244.49249794,0.0,983.1320283,Medium,Medium,978008.5632467386,0,Medium,2.44144610953769
500109998,1.569055959,NIOBRARA,9524.0,Codeveloped,Codeveloped,2513.018545,0,17.85142797,116.5814784,1039.332423,998.5300294,2757.26157,0,0,270.0,396.0,7800.0,666.0,1.569055959,High,1566.749492870515,1564446.4171784306,0.0,998.5300294,Medium,Medium,1037804.6348945632,0,Medium,2.4619366024734095
500109999,1.587436083,NIOBRARA,9588.0,Parent,Codeveloped,2410.38891,0,17.09428452,100.2230914,992.0988736,983.3124739,2570.8054,0,0,653.0,333.0,7787.0,986.0,1.587436083,High,1560.9457019328559,1534897.3797911685,0.0,983.3124739,Medium,Medium,975543.1977530194,0,Low,2.519953317610383
500110000,0.916518462,CODELL,9587.0,Parent,Parent,2556.019944,0,22.20798999,155.4271409,749.2446021,999.4784604,2801.430992,0,0,661.0,4056.0,8035.0,4717.0,0.0,Medium,916.0404613279359,915562.709952151,0.0,0.0,Medium,Low,748853.8413699185,0,Medium,0.8400060911868454
500110001,1.584418848,NIOBRARA,9528.0,Codeveloped,NoNeighbour,2426.861348,0,26.56391688,77.09949622,1115.741814,914.7774979,2630.991547,0,0,-1.0,360.0,7631.0,359.0,1.584418848,High,1449.3907093990404,1325870.00662356,0.0,914.7774979,Medium,High,1020655.5049133272,0,Medium,2.5103830858976472
500110002,1.590066839,NIOBRARA,8333.0,Codeveloped,NoNeighbour,2398.247045,0,23.82839314,122.3441738,1058.054242,882.275291,2580.919621,0,0,-1.0,653.0,7625.0,652.0,1.590066839,High,1402.876683088175,1237723.4338087344,0.0,882.275291,Medium,Medium,933495.1142543344,0,Low,2.5283125524874515
